start	end	text
0	1520	We're going to head straight to the Vatican.
1520	5120	My colleague Marion Machiri is standing by, Marion.
8280	10280	Lewis, thank you very much indeed.
10280	12120	Yes, welcome to the Vatican,
12120	15800	where Pope Leo XIV has been celebrating mass
15800	17880	with cardinals at the Sistine Chapel
17880	20240	following his election on Thursday.
26160	28040	These are the recent pictures of the new pope
28080	31480	entering the Sistine Chapel leading his first mass as pontiff.
31480	33840	He began his homily in English,
33840	36600	saying he knew he could rely on every cardinal
36600	38800	to walk with him on his new mission.
38800	40840	The pope has said the church must do more work
40840	42800	in places where there is a lack of faith
42800	44720	and said that he hopes his election
44720	46280	can help the Catholic Church
46280	49280	bring light to the dark nights of this world.
49280	52840	Well, Pope Leo will be the 267th occupant
52840	54360	of the throne of Saint Peter.
54360	57640	So what do we know about the first American
57640	59600	to fill the role of pope?
59600	61800	Well, 69-year-old Pope Leo XIV
61800	65320	was born Robert Francis Prevost in Chicago
65320	69080	to parents of Spanish and Franco-Italian descent.
69080	71080	He was ordained in 1982
71080	73640	and moved to Peru three years later.
73640	76680	He then became a naturalised Peruvian citizen
76680	79680	spending 10 years as a local parish pastor
79680	83080	and teaching at a seminary in northwestern Peru.
83080	85360	He became well-known to cardinals in the Vatican
85360	87200	because of his high-profile role
87200	90160	as prefect of the Dicastery for bishops.
90160	93920	Pope Francis made him the bishop of Checleo in Peru in 2014
93920	98360	and then he became archbishop in January 2023.
98360	102520	Within a few months, Pope Francis had made him a cardinal.
102520	104120	Well, joining me here is Anna Rowlands,
104120	106120	professor of Catholic social thought and practice
106120	107040	at Durham University,
107040	110080	who's been on succumbment to the Vatican for two years.
110080	113760	And I have to say, you met the new pope last night.
113760	114880	What was that like?
114880	117280	I did, which was a surprise and an accident.
117280	118520	How was it an accident?
118520	120360	How does one meet the pope accidentally?
120360	123080	Well, my colleague, who's a very senior woman in the Vatican,
123080	124600	one of the most senior women in the Vatican
124600	125960	to be appointed by Pope Francis,
125960	128640	was charging at high speed across St Peter's Square
